ts,yes_ask,yes_bid,yes_spread,delta_vol,delta_spread,delta_price
2026-01-15T03:21:06,29,28,1,0,0,0
2026-01-15T03:21:07,29,28,1,0,0,0
2026-01-15T03:21:08,29,28,1,0,0,0
2026-01-15T03:21:09,29,28,1,0,0,0
2026-01-15T03:21:10,29,28,1,0,0,0
2026-01-15T03:21:11,29,28,1,0,0,0
2026-01-15T03:21:12,29,28,1,0,0,0
2026-01-15T03:21:13,29,28,1,0,0,0
2026-01-15T03:21:14,29,28,1,0,0,0
2026-01-15T03:21:15,29,28,1,0,0,0
2026-01-15T03:21:16,29,28,1,0,0,0
2026-01-15T03:21:17,29,28,1,0,0,0
2026-01-15T03:21:18,29,28,1,0,0,0
2026-01-15T03:21:19,29,28,1,0,0,0
2026-01-15T03:21:21,29,28,1,0,0,0
2026-01-15T03:21:22,29,28,1,0,0,0
2026-01-15T03:21:23,29,28,1,0,0,0
2026-01-15T03:21:24,29,28,1,0,0,0
2026-01-15T03:21:25,29,28,1,0,0,0
2026-01-15T03:21:26,29,28,1,0,0,0
2026-01-15T03:21:27,29,28,1,0,0,0
2026-01-15T03:21:28,29,28,1,0,0,0
2026-01-15T03:21:30,29,28,1,0,0,0
2026-01-15T03:21:31,29,28,1,0,0,0
2026-01-15T03:21:32,29,28,1,0,0,0
2026-01-15T03:21:33,29,28,1,0,0,0
2026-01-15T03:21:35,29,28,1,0,0,0
2026-01-15T03:21:36,29,28,1,0,0,0
2026-01-15T03:21:37,29,28,1,0,0,0
2026-01-15T03:21:38,29,28,1,0,0,0
2026-01-15T03:21:40,29,28,1,0,0,0
2026-01-15T03:21:41,29,28,1,0,0,0
2026-01-15T03:21:42,29,28,1,0,0,0
2026-01-15T03:21:43,29,28,1,0,0,0
2026-01-15T03:21:44,29,28,1,0,0,0
2026-01-15T03:21:45,29,28,1,0,0,0
2026-01-15T03:21:46,29,28,1,0,0,0
2026-01-15T03:21:47,29,28,1,0,0,0
2026-01-15T03:21:48,29,28,1,0,0,0
2026-01-15T03:21:49,29,28,1,0,0,0
2026-01-15T03:21:50,29,28,1,0,0,0
2026-01-15T03:21:51,29,28,1,0,0,0
2026-01-15T03:21:52,29,28,1,0,0,0
2026-01-15T03:21:53,29,28,1,0,0,0
2026-01-15T03:21:54,29,28,1,0,0,0
2026-01-15T03:21:55,29,28,1,0,0,0
2026-01-15T03:21:57,29,28,1,0,0,0
2026-01-15T03:21:58,29,28,1,0,0,0
2026-01-15T03:21:59,29,28,1,0,0,0
2026-01-15T03:22:00,29,28,1,0,0,0
2026-01-15T03:22:01,29,28,1,0,0,0
2026-01-15T03:22:02,29,28,1,0,0,0
2026-01-15T03:22:03,29,28,1,0,0,0
2026-01-15T03:22:04,29,28,1,0,0,0
2026-01-15T03:22:05,29,28,1,0,0,0
2026-01-15T03:22:06,29,28,1,0,0,0
2026-01-15T03:22:07,29,28,1,0,0,0
2026-01-15T03:22:08,29,28,1,0,0,0
2026-01-15T03:22:09,29,28,1,0,0,0
2026-01-15T03:22:10,29,28,1,0,0,0
2026-01-15T03:22:11,29,28,1,0,0,0
2026-01-15T03:22:12,29,28,1,0,0,0
2026-01-15T03:22:13,29,28,1,0,0,0
2026-01-15T03:22:15,29,28,1,0,0,0
2026-01-15T03:22:16,29,28,1,0,0,0
2026-01-15T03:22:17,29,28,1,0,0,0
2026-01-15T03:22:18,29,28,1,0,0,0
2026-01-15T03:22:19,29,28,1,0,0,0
2026-01-15T03:22:20,29,28,1,0,0,0
2026-01-15T03:22:21,29,28,1,0,0,0
2026-01-15T03:22:22,29,28,1,0,0,0
2026-01-15T03:22:23,29,28,1,0,0,0
2026-01-15T03:22:24,29,28,1,0,0,0
2026-01-15T03:22:25,29,28,1,0,0,0
2026-01-15T03:22:26,29,28,1,0,0,0
2026-01-15T03:22:27,29,28,1,0,0,0
2026-01-15T03:22:29,29,28,1,0,0,0
2026-01-15T03:22:30,29,28,1,0,0,0
2026-01-15T03:22:31,29,28,1,0,0,0
2026-01-15T03:22:32,29,28,1,0,0,0
2026-01-15T03:22:33,29,28,1,0,0,0
2026-01-15T03:22:34,29,28,1,0,0,0
2026-01-15T03:22:35,29,28,1,0,0,0
2026-01-15T03:22:36,29,28,1,0,0,0
2026-01-15T03:22:37,29,28,1,0,0,0
2026-01-15T03:22:38,29,28,1,0,0,0
2026-01-15T03:22:39,29,28,1,0,0,0
2026-01-15T03:22:40,29,28,1,0,0,0
2026-01-15T03:22:42,29,28,1,0,0,0
2026-01-15T03:22:43,29,28,1,0,0,0
2026-01-15T03:22:44,29,28,1,16,0,0
2026-01-15T03:22:45,29,28,1,16,0,0
2026-01-15T03:22:46,29,28,1,16,0,0
2026-01-15T03:22:47,29,28,1,16,0,0
2026-01-15T03:22:49,29,28,1,16,0,0
2026-01-15T03:22:50,29,28,1,16,0,0
2026-01-15T03:22:51,29,28,1,16,0,0
2026-01-15T03:22:52,29,28,1,16,0,0
2026-01-15T03:22:53,29,28,1,16,0,0
2026-01-15T03:22:55,29,28,1,16,0,0
2026-01-15T03:22:56,29,28,1,0,0,0
2026-01-15T03:22:57,29,28,1,0,0,0
2026-01-15T03:22:58,29,28,1,0,0,0
2026-01-15T03:22:59,29,28,1,0,0,0
2026-01-15T03:23:00,29,28,1,0,0,0
2026-01-15T03:23:01,29,28,1,0,0,0
2026-01-15T03:23:02,29,28,1,0,0,0
2026-01-15T03:23:03,29,28,1,0,0,0
2026-01-15T03:23:04,29,28,1,32,0,0
2026-01-15T03:23:05,29,28,1,32,0,0
2026-01-15T03:23:06,29,28,1,32,0,0
2026-01-15T03:23:07,29,28,1,32,0,0
2026-01-15T03:23:08,29,28,1,32,0,0
2026-01-15T03:23:09,29,28,1,32,0,0
2026-01-15T03:23:10,29,28,1,32,0,0
2026-01-15T03:23:11,29,28,1,32,0,0
2026-01-15T03:23:12,29,28,1,32,0,0
2026-01-15T03:23:13,29,28,1,32,0,0
2026-01-15T03:23:14,29,28,1,0,0,0
2026-01-15T03:23:16,29,28,1,0,0,0
2026-01-15T03:23:17,29,28,1,0,0,0
2026-01-15T03:23:18,29,28,1,0,0,0
2026-01-15T03:23:19,29,28,1,0,0,0
2026-01-15T03:23:20,29,28,1,0,0,0
2026-01-15T03:23:21,29,28,1,0,0,0
2026-01-15T03:23:22,29,28,1,0,0,0
2026-01-15T03:23:23,29,28,1,0,0,0
2026-01-15T03:23:24,29,28,1,0,0,0
2026-01-15T03:23:25,29,28,1,0,0,0
2026-01-15T03:23:26,29,28,1,0,0,0
2026-01-15T03:23:27,29,28,1,0,0,0
2026-01-15T03:23:28,29,28,1,0,0,0
2026-01-15T03:23:29,29,28,1,0,0,0
2026-01-15T03:23:30,29,28,1,0,0,0
2026-01-15T03:23:31,29,28,1,0,0,0
2026-01-15T03:23:32,29,28,1,0,0,0
2026-01-15T03:23:34,29,28,1,0,0,0
2026-01-15T03:23:35,29,28,1,0,0,0
2026-01-15T03:23:36,29,28,1,0,0,0
2026-01-15T03:23:37,29,28,1,0,0,0
2026-01-15T03:23:38,29,28,1,0,0,0
2026-01-15T03:23:39,29,28,1,0,0,0
2026-01-15T03:23:40,29,28,1,0,0,0
2026-01-15T03:23:41,29,28,1,0,0,0
2026-01-15T03:23:42,29,28,1,0,0,0
2026-01-15T03:23:43,29,28,1,0,0,0
2026-01-15T03:23:44,29,28,1,0,0,0
2026-01-15T03:23:45,29,28,1,0,0,0
2026-01-15T03:23:46,29,28,1,0,0,0
2026-01-15T03:23:47,29,28,1,0,0,0
2026-01-15T03:23:49,29,28,1,0,0,0
2026-01-15T03:23:50,29,28,1,0,0,0
2026-01-15T03:23:51,29,28,1,0,0,0
2026-01-15T03:23:52,29,28,1,0,0,0
2026-01-15T03:23:53,29,28,1,0,0,0
2026-01-15T03:23:54,29,28,1,0,0,0
2026-01-15T03:23:55,29,28,1,0,0,0
2026-01-15T03:23:56,29,28,1,0,0,0
2026-01-15T03:23:57,29,28,1,0,0,0
2026-01-15T03:23:58,29,28,1,0,0,0
